1	Journal Article
2	Review
3	Research Support, N.I.H., Extramural
4	Research Support, Non-U.S. Gov't
5	Research Support, U.S. Gov't, Non-P.H.S.
6	Comparative Study
7	Research Support, N.I.H., Intramural
8	Case Reports
9	Preprint
10	Letter
11	Comment
12	News
13	English Abstract
14	Editorial
15	Multicenter Study
16	Observational Study
17	Published Erratum
18	Consensus Development Conference
19	Historical Article
20	Practice Guideline
21	Systematic Review
22	Meta-Analysis
23	Evaluation Study
24	Validation Study
25	Video-Audio Media
26	Clinical Trial
27	Research Support, U.S. Gov't, P.H.S.
28	Randomized Controlled Trial
29	Personal Narrative
30	Clinical Trial Protocol
31	Guideline
32	Biography
33	Portrait
34	Congress
35	Clinical Trial, Phase III
36	Interview
37	Clinical Trial, Phase I
38	Clinical Trial, Phase II
39	Clinical Conference
40	Autobiography
41	Pragmatic Clinical Trial
42	Introductory Journal Article
43	Webcast
44	Twin Study
45	Dataset
46	Lecture
47	Legal Case
48	Patient Education Handout
49	Address
50	Controlled Clinical Trial
51	Clinical Study
52	Retracted Publication
53	Clinical Trial, Phase IV
54	Technical Report
55	Retraction of Publication
56	Randomized Controlled Trial, Veterinary
57	Expression of Concern
